data,unidade_id,tipo_unidade,metragem,valor_cota,pagou,dias_atraso,valor_pago,despesa_total,obra_extraordinaria
2020-01-01,Apt001,apartamento,39,556.45,True,0,556.45,33048.31668725768,0.0
2020-01-01,Apt002,apartamento,55,619.22,True,0,619.22,33048.31668725768,0.0
2020-01-01,Apt003,apartamento,39,568.89,True,0,568.89,33048.31668725768,0.0
2020-01-01,Apt004,apartamento,39,572.01,True,0,572.01,33048.31668725768,0.0
2020-01-01,Apt005,apartamento,39,575.91,False,30,243.17,33048.31668725768,0.0
2020-01-01,Apt006,apartamento,39,546.75,True,0,546.75,33048.31668725768,0.0
2020-01-01,Apt007,apartamento,39,525.47,True,0,525.47,33048.31668725768,0.0
2020-01-01,Apt008,apartamento,44,586.77,True,0,586.77,33048.31668725768,0.0
2020-01-01,Apt009,apartamento,39,520.61,True,0,520.61,33048.31668725768,0.0
2020-01-01,Apt010,apartamento,39,547.43,True,0,547.43,33048.31668725768,0.0
2020-01-01,Apt011,apartamento,32,493.99,True,0,493.99,33048.31668725768,0.0
2020-01-01,Apt012,apartamento,55,545.37,True,0,545.37,33048.31668725768,0.0
2020-01-01,Apt013,apartamento,39,593.72,True,0,593.72,33048.31668725768,0.0
2020-01-01,Apt014,apartamento,39,513.82,True,0,513.82,33048.31668725768,0.0
2020-01-01,Apt015,apartamento,39,515.01,True,0,515.01,33048.31668725768,0.0
2020-01-01,Apt016,apartamento,39,585.74,True,0,585.74,33048.31668725768,0.0
2020-01-01,Apt017,apartamento,39,568.92,True,0,568.92,33048.31668725768,0.0
2020-01-01,Apt018,apartamento,39,572.92,True,0,572.92,33048.31668725768,0.0
2020-01-01,Apt019,apartamento,39,482.6,True,0,482.6,33048.31668725768,0.0
2020-01-01,Apt020,apartamento,39,487.68,True,0,487.68,33048.31668725768,0.0
2020-01-01,Apt021,apartamento,39,580.69,True,0,580.69,33048.31668725768,0.0
2020-01-01,Apt022,apartamento,39,542.81,False,53,433.37,33048.31668725768,0.0
2020-01-01,Apt023,apartamento,39,510.57,True,0,510.57,33048.31668725768,0.0
2020-01-01,Apt024,apartamento,39,560.57,True,0,560.57,33048.31668725768,0.0
2020-01-01,Apt025,apartamento,39,577.95,True,0,577.95,33048.31668725768,0.0
2020-01-01,Apt026,apartamento,39,490.69,True,0,490.69,33048.31668725768,0.0
